steps	avg_reward	std_reward
0	-1136.428307078783	259.25439392944736
1	-1356.3976130871172	232.14070920709537
2	-1386.952971980584	134.62209599587345
3	-1492.1015109327764	160.317729320369
4	-1543.1335270276873	167.52749711525388
5	-1509.5806851094028	147.0617885021936
6	-1520.6284261026408	147.39961749218327
7	-1617.0859176820343	106.48511270530757
8	-1581.8636576756028	113.6869160530044
9	-1590.8214998976287	126.99214619746692
10	-1626.1186084245865	118.16613272061532
11	-1617.858747533473	111.97614743080794
12	-1602.6367245303702	104.25015472765142
13	-1588.2097208795758	91.63771911560984
14	-1606.9954766845992	106.6108363320801
15	-1559.9862700713359	120.40613099974942
16	-1556.107510835246	144.19919019623399
17	-1528.1584312042087	126.87999484370805
18	-1508.9470138993063	135.65417712493237
19	-1553.3574777548586	152.28792457254133
20	-1554.4897199915567	121.86633532756277
21	-1525.2250768814306	139.08115965131194
22	-1521.680786187652	124.59148309916114
23	-1521.5871438502918	180.2704092829606
24	-1586.9190448001793	147.74152118621106
25	-1601.1310154004918	171.393655574205
26	-1545.6543358640254	160.22293229575868
27	-1539.1706282654557	150.51796875390355
28	-1664.5204261363565	96.26784028095645
29	-1628.630254141109	86.07397200897053
30	-1626.1972123533383	135.04844187898922
31	-1606.9838041400321	133.0976038673471
32	-1650.0921161431709	119.85785136188
33	-1692.3769672522226	84.92901287808155
34	-1624.5535353838118	108.56776362968449
35	-1636.1683358019482	102.23801672030585
36	-1648.0649747703706	98.46415214170807
37	-1671.7702278792597	88.32271550413408
38	-1640.1465528658075	109.60948934668957
39	-1672.626241201009	109.21861407055083
40	-1654.574728406088	123.000492714072
41	-1683.6670625256365	89.98577223422349
42	-1683.523580540614	87.82560647083525
43	-1673.5407433102205	88.9698545807773
44	-1715.2547699643067	93.21787792036847
45	-1656.6930765838933	111.94480504806734
46	-1642.4088828114307	105.00159386547242
47	-1672.3776044433866	135.55262356252433
48	-1664.074401469369	98.22778542904224
49	-1658.5258705118752	110.47470291521282
50	-1660.6910126836117	104.79065135954181
51	-1655.9982249578857	112.20911442117252
52	-1642.0938993415177	113.82467960114741
53	-1671.0140179084772	114.10724513941146
54	-1659.7279012215713	88.51973080491814
55	-1672.2821874873434	130.94117181785518
56	-1679.995158654016	102.93476394480518
57	-1700.3525340487781	92.5557043182048
58	-1684.6963131489608	100.88444110179019
59	-1661.583476185302	80.50134026604584
60	-1668.8063917641296	117.50263047029726
61	-1651.520943614654	157.8520079246685
62	-1674.948495363066	91.44816412949983
63	-1687.6331504848415	96.31442588129946
64	-1694.3057409389571	115.82886382815614
65	-1668.2781181877951	109.78524610818347
66	-1664.3761709623461	120.31077669973487
67	-1657.319830264886	91.97550880052005
68	-1681.127483688218	144.77598435818206
69	-1642.1445808043031	145.22664771153606
70	-1697.8299905039562	92.30398457770477
71	-1670.1985663148246	130.1338542526906
72	-1706.0442039063419	88.49379574537112
73	-1677.650212291752	92.71059643767137
74	-1728.2810120238	75.68507576722773
75	-1737.869202187265	57.757650126153415
76	-1694.1096901756855	97.14435105645462
77	-1690.3601067952288	94.19622831773262
78	-1714.1237424823398	84.97877969900169
